category,changed_from_baseline,frequency
chair,0.4354838709677419,133
wild_cat,0.3823529411764706,0
Faces,0.22643678160919545,10
ketch,0.2105263157894737,0
flamingo_head,0.15555555555555556,0
crocodile_head,0.13725490196078433,0
car_side,0.07317073170731703,0
cup,0.07017543859649122,17
lamp,0.06557377049180324,26
beaver,0.0652173913043479,0
water_lilly,0.05405405405405406,0
cellphone,0.05084745762711873,1
saxophone,0.050000000000000044,0
dragonfly,0.044117647058823484,0
snoopy,0.02857142857142858,0
airplanes,0.026249999999999996,3
mayfly,0.025000000000000022,0
lobster,0.024390243902439046,2
ant,0.023809523809523725,0
camera,0.020000000000000018,48
chandelier,0.01869158878504673,0
rhino,0.016949152542372836,0
elephant,0.015625,20
laptop,0.012345679012345623,15
kangaroo,0.011627906976744207,0
grand_piano,0.010101010101010055,0
watch,0.004184100418409997,5
Motorbikes,0.0012531328320801727,0
rooster,0.0,0
garfield,0.0,0
pyramid,0.0,3
lotus,0.0,0
pizza,0.0,18
panda,0.0,0
okapi,0.0,0
ferry,0.0,0
metronome,0.0,0
joshua_tree,0.0,0
inline_skate,0.0,0
dalmatian,0.0,0
schooner,0.0,0
tick,0.0,0
wrench,0.0,0
barrel,0.0,1
wheelchair,0.0,8
bonsai,0.0,0
brain,0.0,0
buddha,0.0,4
umbrella,0.0,4
trilobite,0.0,0
sunflower,0.0,0
soccer_ball,0.0,0
cougar_face,0.0,0
stop_sign,0.0,0
starfish,0.0,0
stapler,0.0,0
dollar_bill,0.0,0
menorah,0.0,0
helicopter,-0.011363636363636354,14
revolver,-0.012195121951219523,0
dolphin,-0.01538461538461533,3
yin_yang,-0.016666666666666607,0
emu,-0.018867924528301883,0
pagoda,-0.02127659574468077,0
pigeon,-0.022222222222222254,0
headphone,-0.023809523809523836,4
scorpion,-0.023809523809523836,0
llama,-0.02564102564102566,0
scissors,-0.02564102564102566,0
crab,-0.0273972602739726,1
strawberry,-0.02857142857142858,9
gerenuk,-0.02941176470588236,0
hawksbill,-0.030000000000000027,0
binocular,-0.030303030303030276,0
butterfly,-0.03296703296703296,4
stegosaurus,-0.03389830508474578,0
ewer,-0.03529411764705892,0
accordion,-0.036363636363636376,0
hedgehog,-0.03703703703703698,0
ibis,-0.03749999999999998,0
gramophone,-0.039215686274509776,0
brontosaurus,-0.046511627906976716,0
cannon,-0.046511627906976716,0
mandolin,-0.046511627906976716,0
sea_horse,-0.052631578947368474,0
octopus,-0.05714285714285716,0
crocodile,-0.05999999999999994,0
nautilus,-0.07272727272727275,0
bass,-0.07407407407407407,0
ceiling_fan,-0.08510638297872342,0
electric_guitar,-0.09333333333333338,0
euphonium,-0.09375,0
anchor,-0.09523809523809523,1
minaret,-0.11842105263157898,0
crayfish,-0.12857142857142867,0
Leopards,-0.14500000000000002,0
platypus,-0.1470588235294117,0
flamingo,-0.14925373134328357,0
windsor_chair,-0.2142857142857142,0
cougar_body,-0.2978723404255319,0
