category,changed_from_baseline,frequency
chair,0.5,133
wild_cat,0.35294117647058826,0
flamingo_head,0.2666666666666667,0
Faces,0.22413793103448276,10
water_lilly,0.16216216216216217,0
crocodile_head,0.1568627450980392,0
ketch,0.14912280701754385,0
wrench,0.10256410256410264,0
beaver,0.08695652173913049,0
cellphone,0.0847457627118644,1
lamp,0.08196721311475408,26
car_side,0.07317073170731703,0
cup,0.07017543859649122,17
saxophone,0.050000000000000044,0
crab,0.04109589041095896,1
dragonfly,0.02941176470588236,0
snoopy,0.02857142857142858,0
mayfly,0.025000000000000022,0
laptop,0.024691358024691357,15
ant,0.023809523809523725,0
airplanes,0.02375000000000005,3
camera,0.020000000000000018,48
chandelier,0.01869158878504673,0
accordion,0.018181818181818188,0
rhino,0.016949152542372836,0
elephant,0.015625,20
kangaroo,0.011627906976744207,0
starfish,0.011627906976744207,0
grand_piano,0.010101010101010055,0
stegosaurus,0.0,0
headphone,0.0,4
gerenuk,0.0,0
metronome,0.0,0
soccer_ball,0.0,0
pyramid,0.0,3
inline_skate,0.0,0
joshua_tree,0.0,0
schooner,0.0,0
rooster,0.0,0
garfield,0.0,0
sunflower,0.0,0
stop_sign,0.0,0
cougar_face,0.0,0
Motorbikes,0.0,0
bass,0.0,0
binocular,0.0,0
bonsai,0.0,0
brain,0.0,0
wheelchair,0.0,8
buddha,0.0,4
cannon,0.0,0
watch,0.0,5
umbrella,0.0,4
trilobite,0.0,0
tick,0.0,0
dalmatian,0.0,0
dollar_bill,0.0,0
panda,0.0,0
emu,0.0,0
strawberry,0.0,9
okapi,0.0,0
helicopter,-0.011363636363636354,14
menorah,-0.011494252873563204,0
scorpion,-0.011904761904761862,0
revolver,-0.012195121951219523,0
ferry,-0.01492537313432829,0
dolphin,-0.01538461538461533,3
euphonium,-0.015625,0
yin_yang,-0.016666666666666607,0
sea_horse,-0.01754385964912286,0
nautilus,-0.018181818181818188,0
pizza,-0.018867924528301883,18
barrel,-0.02127659574468077,1
ceiling_fan,-0.021276595744680882,0
butterfly,-0.0219780219780219,4
pigeon,-0.022222222222222254,0
mandolin,-0.023255813953488413,0
scissors,-0.02564102564102566,0
hawksbill,-0.030000000000000027,0
ewer,-0.03529411764705892,0
hedgehog,-0.03703703703703698,0
gramophone,-0.039215686274509776,0
pagoda,-0.04255319148936165,0
stapler,-0.0444444444444444,0
brontosaurus,-0.046511627906976716,0
lobster,-0.04878048780487798,2
ibis,-0.050000000000000044,0
llama,-0.05128205128205132,0
octopus,-0.05714285714285716,0
platypus,-0.05882352941176472,0
crocodile,-0.05999999999999994,0
lotus,-0.0757575757575758,0
Leopards,-0.07999999999999996,0
minaret,-0.0921052631578948,0
anchor,-0.11904761904761907,1
electric_guitar,-0.12,0
flamingo,-0.13432835820895517,0
crayfish,-0.1428571428571429,0
windsor_chair,-0.2321428571428571,0
cougar_body,-0.34042553191489355,0
