category,changed_from_baseline,frequency
sneaker,0.39639639639639646,1
goat,0.3125,21
face,0.26896551724137935,10
people,0.2296650717703349,255
toaster,0.18085106382978722,0
sock,0.1696428571428572,0
coffee mug,0.16091954022988508,0
gorilla,0.160377358490566,3
laptop,0.15625,15
motorbike,0.137844611528822,0
microscope,0.1367521367521367,0
triceratop,0.12631578947368416,0
canoe,0.125,4
spoon,0.12380952380952381,6
knife,0.11881188118811886,15
chandelier,0.10377358490566035,0
microwave,0.10280373831775702,6
calculator,0.09999999999999998,3
washing machine,0.09523809523809523,0
tripod,0.08928571428571419,2
screwdriver,0.08823529411764708,0
frog,0.08620689655172409,2
soda can,0.08045977011494254,0
mailbox,0.07526881720430112,1
spider,0.07407407407407407,1
breadmaker,0.07042253521126751,0
ladder,0.07024793388429751,0
dog,0.06862745098039214,179
horse,0.06666666666666665,0
teapot,0.06617647058823528,0
boom box,0.06593406593406592,0
grand piano,0.06315789473684208,0
unicorn,0.061855670103092786,0
joy stick,0.06153846153846154,0
jesus christ,0.05747126436781613,0
duck,0.05747126436781602,9
spaghetti,0.04807692307692313,8
hourglass,0.04705882352941171,0
teddy bear,0.03960396039603964,0
galaxy,0.03703703703703698,0
touring bike,0.036363636363636376,0
airplane,0.036250000000000004,3
crab,0.03529411764705892,1
chopstick,0.03529411764705881,0
computer keyboard,0.03529411764705881,0
flashlight,0.034782608695652195,0
praying mantis,0.03260869565217395,0
lightbulb,0.03260869565217395,0
waterfall,0.03157894736842104,0
traffic light,0.030303030303030276,0
yo yo,0.030000000000000027,0
sword,0.02941176470588236,5
dumb bell,0.02941176470588236,0
cannon,0.029126213592232997,0
dolphin,0.028301886792452824,3
rifle,0.028301886792452824,1
bulldozer,0.027272727272727226,0
snowmobile,0.0267857142857143,0
hammock,0.024561403508772006,0
coin,0.024193548387096753,1
floppy disk,0.02409638554216864,0
fire extinguisher,0.023809523809523725,0
pyramid,0.023255813953488413,3
blimp,0.023255813953488302,0
cereal box,0.02298850574712652,0
coffin,0.02298850574712641,0
pram,0.022727272727272707,0
bathtub,0.02155172413793105,0
watermelon,0.021505376344086002,1
doorknob,0.021505376344086002,0
skyscraper,0.021052631578947434,0
steering wheel,0.020618556701030966,0
dice,0.020408163265306145,0
tennis ball,0.020408163265306145,0
sushi,0.020408163265306145,0
guitar pick,0.019230769230769162,0
mars,0.019230769230769162,0
ostrich,0.01834862385321101,0
cactus,0.01754385964912286,0
hummingbird,0.017241379310344862,0
comet,0.016528925619834767,0
bonsai,0.016393442622950838,0
treadmill,0.013605442176870763,0
scorpion,0.012499999999999956,0
top hat,0.012499999999999956,0
desk globe,0.012195121951219523,0
roulette wheel,0.012048192771084265,0
hot dog,0.0117647058823529,0
helicopter,0.011363636363636354,14
smokestack,0.011363636363636354,0
vcr,0.011111111111111183,0
windmill,0.01098901098901095,0
picnic table,0.01098901098901095,0
palm pilot,0.010752688172043001,0
mattress,0.01041666666666674,9
sextant,0.010000000000000009,0
grapes,0.00995024875621886,6
wine bottle,0.00990099009900991,0
porcupine,0.00990099009900991,0
hibiscus,0.009009009009008917,0
butterfly,0.008928571428571397,4
grasshopper,0.008928571428571397,0
umbrella,0.00877192982456143,4
swan,0.008695652173912993,0
fire truck,0.008474576271186418,0
electric guitar,0.008196721311475419,0
tweezer,0.008196721311475419,0
elephant,0.007633587786259555,20
lightning,0.007352941176470562,0
clutter,0.0060459492140266,0
t-shirt,0.005586592178770888,0
leopard,0.0052631578947368585,0
watch,0.00497512437810943,5
skateboard,0.0,0
fern,0.0,0
diamond ring,0.0,0
birdbath,0.0,0
eiffel tower,0.0,0
elk,0.0,0
eyeglass,0.0,0
sheet music,0.0,0
school bus,0.0,0
octopus,0.0,0
rainbow,0.0,6
french horn,0.0,0
bear,0.0,18
bat,0.0,26
basketball hoop,0.0,0
palm tree,0.0,0
cormorant,0.0,0
stirrups,0.0,0
sunflower,0.0,0
telephone box,0.0,0
car tire,0.0,0
