category,changed_from_baseline,frequency
possum,0.30000000000000004,0
mouse,0.27,0
woman,0.25,316
worm,0.20000000000000007,0
seal,0.18000000000000005,0
television,0.18000000000000005,0
rose,0.17000000000000004,13
couch,0.1499999999999999,50
turtle,0.13,4
bear,0.13,18
man,0.13,471
sea,0.12,9
spider,0.12,1
poppy,0.12,0
beaver,0.10999999999999999,0
squirrel,0.10999999999999993,2
hamster,0.09999999999999998,0
lion,0.09999999999999998,20
can,0.09999999999999998,4
whale,0.09999999999999998,1
cup,0.09999999999999998,17
snail,0.09000000000000008,0
oak_tree,0.09000000000000002,0
tank,0.08999999999999997,6
tractor,0.08999999999999997,3
cloud,0.08999999999999997,13
ray,0.08000000000000002,0
apple,0.07000000000000006,22
baby,0.07000000000000006,38
castle,0.07000000000000006,5
motorcycle,0.06000000000000005,20
cockroach,0.06000000000000005,0
pear,0.050000000000000044,1
orange,0.050000000000000044,26
willow_tree,0.04999999999999999,0
cattle,0.040000000000000036,3
lizard,0.03999999999999998,0
fox,0.039999999999999925,1
bee,0.039999999999999925,0
bottle,0.039999999999999925,17
rocket,0.030000000000000027,1
wolf,0.029999999999999916,2
rabbit,0.029999999999999916,11
chair,0.020000000000000018,133
plain,0.020000000000000018,0
bowl,0.020000000000000018,43
bed,0.019999999999999907,75
bus,0.010000000000000009,44
caterpillar,0.010000000000000009,0
road,0.010000000000000009,107
telephone,0.010000000000000009,0
house,0.010000000000000009,0
elephant,0.010000000000000009,20
bicycle,0.010000000000000009,45
tiger,0.009999999999999953,7
sunflower,0.009999999999999898,0
mushroom,0.0,11
train,0.0,38
pickup_truck,0.0,0
pine_tree,0.0,0
aquarium_fish,-0.010000000000000009,0
camel,-0.010000000000000009,0
lamp,-0.010000000000000009,26
mountain,-0.019999999999999907,36
forest,-0.020000000000000018,36
crab,-0.020000000000000018,1
lobster,-0.020000000000000018,2
chimpanzee,-0.020000000000000018,0
shark,-0.030000000000000027,10
boy,-0.030000000000000027,777
butterfly,-0.030000000000000027,4
table,-0.039999999999999925,221
keyboard,-0.04999999999999993,14
crocodile,-0.04999999999999999,0
otter,-0.04999999999999999,0
dolphin,-0.050000000000000044,3
wardrobe,-0.05999999999999994,0
palm_tree,-0.05999999999999994,0
raccoon,-0.06,0
leopard,-0.060000000000000026,0
maple_tree,-0.06000000000000005,0
snake,-0.07000000000000006,1
sweet_pepper,-0.07000000000000006,0
plate,-0.07000000000000006,57
porcupine,-0.08,0
beetle,-0.08000000000000007,0
clock,-0.08000000000000007,5
dinosaur,-0.08000000000000007,3
girl,-0.08999999999999997,568
tulip,-0.09000000000000008,0
lawn_mower,-0.09999999999999998,0
bridge,-0.12,64
skyscraper,-0.1200000000000001,0
skunk,-0.13,0
kangaroo,-0.13,0
shrew,-0.14,0
orchid,-0.14,0
trout,-0.16000000000000003,0
streetcar,-0.19,0
flatfish,-0.23999999999999994,0
