category,changed_from_baseline,frequency
possum,0.27,0
woman,0.21000000000000008,316
beaver,0.19,0
mouse,0.18,0
television,0.17000000000000004,0
spider,0.17000000000000004,1
man,0.14,471
lizard,0.14,0
turtle,0.14,4
ray,0.14,0
worm,0.13,0
rose,0.12,13
butterfly,0.10999999999999999,4
lion,0.10999999999999999,20
tractor,0.10999999999999999,3
cloud,0.09999999999999998,13
bear,0.09999999999999998,18
whale,0.09999999999999998,1
poppy,0.09999999999999998,0
cup,0.09999999999999998,17
shark,0.09999999999999998,10
oak_tree,0.09000000000000002,0
tiger,0.09000000000000002,7
sea,0.08999999999999997,9
squirrel,0.08000000000000002,2
lobster,0.07999999999999999,2
hamster,0.07999999999999996,0
bee,0.07999999999999996,0
couch,0.07999999999999996,50
apple,0.07000000000000006,22
mushroom,0.06999999999999995,11
tank,0.06999999999999995,6
motorcycle,0.06000000000000005,20
willow_tree,0.06,0
orange,0.050000000000000044,26
seal,0.050000000000000044,0
snail,0.050000000000000044,0
crocodile,0.05000000000000002,0
castle,0.040000000000000036,5
can,0.039999999999999925,4
rabbit,0.039999999999999925,11
rocket,0.030000000000000027,1
cockroach,0.030000000000000027,0
baby,0.030000000000000027,38
lamp,0.030000000000000027,26
bowl,0.02999999999999997,43
fox,0.029999999999999916,1
pine_tree,0.029999999999999916,0
dinosaur,0.020000000000000018,3
plain,0.020000000000000018,0
aquarium_fish,0.019999999999999907,0
bus,0.010000000000000009,44
chair,0.010000000000000009,133
road,0.010000000000000009,107
caterpillar,0.010000000000000009,0
trout,0.009999999999999953,0
bed,0.009999999999999898,75
sunflower,0.009999999999999898,0
wolf,0.0,2
maple_tree,0.0,0
forest,0.0,36
snake,0.0,1
otter,-0.009999999999999981,0
crab,-0.010000000000000009,1
skyscraper,-0.010000000000000009,0
elephant,-0.010000000000000009,20
house,-0.010000000000000009,0
pear,-0.010000000000000009,1
mountain,-0.019999999999999907,36
porcupine,-0.01999999999999999,0
clock,-0.020000000000000018,5
camel,-0.020000000000000018,0
bicycle,-0.020000000000000018,45
pickup_truck,-0.020000000000000018,0
boy,-0.020000000000000018,777
bottle,-0.020000000000000018,17
train,-0.020000000000000018,38
leopard,-0.020000000000000018,0
cattle,-0.020000000000000018,3
table,-0.029999999999999916,221
raccoon,-0.02999999999999997,0
lawn_mower,-0.030000000000000027,0
telephone,-0.030000000000000027,0
palm_tree,-0.039999999999999925,0
skunk,-0.040000000000000036,0
kangaroo,-0.040000000000000036,0
girl,-0.040000000000000036,568
bridge,-0.040000000000000036,64
dolphin,-0.040000000000000036,3
keyboard,-0.04999999999999993,14
wardrobe,-0.04999999999999993,0
chimpanzee,-0.050000000000000044,0
beetle,-0.050000000000000044,0
sweet_pepper,-0.06000000000000005,0
orchid,-0.06000000000000005,0
tulip,-0.08000000000000007,0
plate,-0.10000000000000009,57
streetcar,-0.14,0
shrew,-0.15000000000000002,0
flatfish,-0.22999999999999998,0
