category,changed_from_baseline,frequency
possum,0.39,0
television,0.21999999999999997,0
rose,0.21000000000000008,13
woman,0.21000000000000008,316
mouse,0.21000000000000002,0
turtle,0.20000000000000007,4
worm,0.18000000000000005,0
couch,0.17999999999999994,50
cup,0.17000000000000004,17
snail,0.17000000000000004,0
spider,0.17000000000000004,1
oak_tree,0.14000000000000007,0
cockroach,0.13,0
bear,0.13,18
seal,0.12,0
man,0.10999999999999999,471
sea,0.09999999999999998,9
beaver,0.09000000000000002,0
tiger,0.09000000000000002,7
ray,0.09,0
tank,0.08999999999999997,6
tractor,0.08999999999999997,3
lion,0.08999999999999997,20
squirrel,0.08000000000000002,2
lizard,0.08000000000000002,0
bee,0.07999999999999996,0
whale,0.07999999999999996,1
apple,0.07000000000000006,22
motorcycle,0.07000000000000006,20
castle,0.07000000000000006,5
cloud,0.06999999999999995,13
hamster,0.06000000000000005,0
wolf,0.05999999999999994,2
can,0.05999999999999994,4
butterfly,0.050000000000000044,4
bottle,0.04999999999999993,17
forest,0.040000000000000036,36
willow_tree,0.040000000000000036,0
baby,0.040000000000000036,38
orange,0.040000000000000036,26
caterpillar,0.03999999999999998,0
bowl,0.03999999999999998,43
plain,0.020000000000000018,0
cattle,0.020000000000000018,3
elephant,0.020000000000000018,20
poppy,0.020000000000000018,0
rocket,0.020000000000000018,1
lobster,0.01999999999999999,2
aquarium_fish,0.019999999999999907,0
fox,0.019999999999999907,1
mushroom,0.019999999999999907,11
shark,0.019999999999999907,10
chair,0.010000000000000009,133
rabbit,0.010000000000000009,11
train,0.010000000000000009,38
bed,0.009999999999999898,75
sunflower,0.009999999999999898,0
pickup_truck,0.0,0
crocodile,0.0,0
crab,0.0,1
road,0.0,107
pine_tree,0.0,0
bus,-0.009999999999999898,44
house,-0.010000000000000009,0
telephone,-0.010000000000000009,0
lamp,-0.010000000000000009,26
boy,-0.020000000000000018,777
clock,-0.020000000000000018,5
pear,-0.020000000000000018,1
beetle,-0.020000000000000018,0
bicycle,-0.020000000000000018,45
otter,-0.03,0
camel,-0.039999999999999925,0
mountain,-0.039999999999999925,36
maple_tree,-0.040000000000000036,0
snake,-0.040000000000000036,1
wardrobe,-0.04999999999999993,0
porcupine,-0.04999999999999999,0
leopard,-0.05000000000000002,0
kangaroo,-0.050000000000000044,0
keyboard,-0.05999999999999994,14
raccoon,-0.06,0
chimpanzee,-0.06000000000000005,0
palm_tree,-0.06999999999999995,0
table,-0.06999999999999995,221
plate,-0.07000000000000006,57
sweet_pepper,-0.07000000000000006,0
girl,-0.07999999999999996,568
dolphin,-0.08999999999999997,3
lawn_mower,-0.09999999999999998,0
shrew,-0.09999999999999998,0
skunk,-0.09999999999999998,0
dinosaur,-0.10999999999999999,3
tulip,-0.12,0
trout,-0.12000000000000002,0
orchid,-0.1200000000000001,0
bridge,-0.13,64
skyscraper,-0.13,0
streetcar,-0.16999999999999998,0
flatfish,-0.26999999999999996,0
