category,changed_from_baseline,frequency
steak,0.236,9
lasagna,0.06800000000000006,0
risotto,0.06799999999999995,0
hot_and_sour_soup,0.05999999999999994,0
omelette,0.05599999999999994,0
beet_salad,0.04800000000000004,0
onion_rings,0.04800000000000004,0
chocolate_cake,0.04799999999999993,0
breakfast_burrito,0.040000000000000036,0
hamburger,0.040000000000000036,0
nachos,0.03599999999999992,0
dumplings,0.03200000000000003,0
scallops,0.03200000000000003,0
ice_cream,0.028000000000000025,0
cheesecake,0.028000000000000025,0
cheese_plate,0.02400000000000002,0
pancakes,0.02400000000000002,1
baklava,0.020000000000000018,0
ravioli,0.020000000000000018,0
baby_back_ribs,0.020000000000000018,0
sushi,0.020000000000000018,0
french_fries,0.016000000000000014,0
donuts,0.016000000000000014,0
bibimbap,0.016000000000000014,0
grilled_cheese_sandwich,0.016000000000000014,0
pork_chop,0.016000000000000014,0
croque_madame,0.016000000000000014,0
panna_cotta,0.015999999999999903,0
seaweed_salad,0.01200000000000001,0
waffles,0.01200000000000001,0
spaghetti_bolognese,0.008000000000000007,0
hot_dog,0.008000000000000007,0
red_velvet_cake,0.0040000000000000036,0
hummus,0.0040000000000000036,0
edamame,0.0040000000000000036,0
pizza,0.0,18
caesar_salad,0.0,0
fish_and_chips,-0.0040000000000000036,0
cup_cakes,-0.0040000000000000036,0
oysters,-0.0040000000000000036,0
frozen_yogurt,-0.0040000000000000036,0
poutine,-0.008000000000000007,0
tiramisu,-0.008000000000000007,0
spaghetti_carbonara,-0.008000000000000007,0
sashimi,-0.016000000000000014,0
lobster_bisque,-0.016000000000000014,0
beef_tartare,-0.016000000000000014,0
beef_carpaccio,-0.016000000000000014,0
clam_chowder,-0.016000000000000014,0
deviled_eggs,-0.019999999999999907,0
mussels,-0.020000000000000018,0
beignets,-0.020000000000000018,0
carrot_cake,-0.020000000000000018,0
guacamole,-0.020000000000000018,0
pulled_pork_sandwich,-0.02399999999999991,0
eggs_benedict,-0.02399999999999991,0
spring_rolls,-0.02400000000000002,0
gnocchi,-0.027999999999999914,0
greek_salad,-0.03199999999999992,0
foie_gras,-0.03200000000000003,0
pad_thai,-0.03599999999999992,0
club_sandwich,-0.03599999999999992,0
pho,-0.03599999999999992,0
miso_soup,-0.03600000000000003,0
chocolate_mousse,-0.03600000000000003,0
apple_pie,-0.039999999999999925,0
cannoli,-0.040000000000000036,0
chicken_quesadilla,-0.040000000000000036,0
french_toast,-0.04399999999999993,0
ramen,-0.04400000000000004,0
bruschetta,-0.04400000000000004,0
escargots,-0.04400000000000004,0
ceviche,-0.04800000000000004,0
tacos,-0.04800000000000004,0
bread_pudding,-0.051999999999999935,0
falafel,-0.052000000000000046,0
strawberry_shortcake,-0.052000000000000046,0
creme_brulee,-0.052000000000000046,0
tuna_tartare,-0.052000000000000046,0
fried_rice,-0.052000000000000046,0
chicken_curry,-0.05599999999999994,0
churros,-0.05599999999999994,0
crab_cakes,-0.05599999999999994,0
macarons,-0.05999999999999994,0
caprese_salad,-0.06000000000000005,0
macaroni_and_cheese,-0.06799999999999995,0
fried_calamari,-0.06800000000000006,0
paella,-0.07599999999999996,0
huevos_rancheros,-0.07999999999999996,0
chicken_wings,-0.08399999999999996,0
filet_mignon,-0.08799999999999997,0
french_onion_soup,-0.10399999999999998,0
lobster_roll_sandwich,-0.10799999999999998,0
garlic_bread,-0.11199999999999999,0
gyoza,-0.1120000000000001,0
takoyaki,-0.11599999999999999,0
peking_duck,-0.12,0
samosa,-0.12,0
shrimp_and_grits,-0.132,0
grilled_salmon,-0.136,0
prime_rib,-0.15999999999999992,0
