category,changed_from_baseline,frequency
steak,0.19199999999999995,9
scallops,0.07200000000000006,0
hot_and_sour_soup,0.051999999999999935,0
beet_salad,0.04800000000000004,0
onion_rings,0.04800000000000004,0
lasagna,0.04400000000000004,0
risotto,0.039999999999999925,0
chocolate_cake,0.039999999999999925,0
hamburger,0.03600000000000003,0
breakfast_burrito,0.03200000000000003,0
pork_chop,0.03200000000000003,0
dumplings,0.03200000000000003,0
baklava,0.028000000000000025,0
nachos,0.028000000000000025,0
panna_cotta,0.027999999999999914,0
sushi,0.02400000000000002,0
french_fries,0.02399999999999991,0
fried_rice,0.020000000000000018,0
omelette,0.020000000000000018,0
waffles,0.020000000000000018,0
ice_cream,0.020000000000000018,0
croque_madame,0.020000000000000018,0
ravioli,0.020000000000000018,0
cheese_plate,0.016000000000000014,0
caesar_salad,0.016000000000000014,0
pancakes,0.01200000000000001,1
greek_salad,0.008000000000000007,0
beignets,0.008000000000000007,0
cup_cakes,0.008000000000000007,0
donuts,0.0040000000000000036,0
clam_chowder,0.0040000000000000036,0
seaweed_salad,0.0040000000000000036,0
bibimbap,0.0040000000000000036,0
fish_and_chips,0.0,0
hot_dog,0.0,0
red_velvet_cake,0.0,0
edamame,0.0,0
grilled_cheese_sandwich,-0.0040000000000000036,0
oysters,-0.0040000000000000036,0
mussels,-0.0040000000000000036,0
tacos,-0.0040000000000000036,0
spaghetti_bolognese,-0.0040000000000000036,0
miso_soup,-0.0040000000000000036,0
carrot_cake,-0.0040000000000000036,0
baby_back_ribs,-0.0040000000000000036,0
cheesecake,-0.008000000000000007,0
beef_tartare,-0.008000000000000007,0
apple_pie,-0.008000000000000007,0
pho,-0.0119999999999999,0
pizza,-0.015999999999999903,18
ramen,-0.016000000000000014,0
frozen_yogurt,-0.016000000000000014,0
guacamole,-0.016000000000000014,0
cannoli,-0.020000000000000018,0
spaghetti_carbonara,-0.020000000000000018,0
strawberry_shortcake,-0.02400000000000002,0
chicken_wings,-0.027999999999999914,0
sashimi,-0.027999999999999914,0
chicken_quesadilla,-0.028000000000000025,0
spring_rolls,-0.028000000000000025,0
club_sandwich,-0.03199999999999992,0
eggs_benedict,-0.03199999999999992,0
pulled_pork_sandwich,-0.03199999999999992,0
lobster_bisque,-0.03200000000000003,0
pad_thai,-0.03599999999999992,0
chocolate_mousse,-0.03600000000000003,0
tiramisu,-0.03600000000000003,0
hummus,-0.03600000000000003,0
poutine,-0.040000000000000036,0
caprese_salad,-0.040000000000000036,0
gnocchi,-0.04399999999999993,0
deviled_eggs,-0.04399999999999993,0
churros,-0.04400000000000004,0
fried_calamari,-0.04400000000000004,0
bread_pudding,-0.04799999999999993,0
falafel,-0.04800000000000004,0
escargots,-0.04800000000000004,0
creme_brulee,-0.052000000000000046,0
chicken_curry,-0.05599999999999994,0
macarons,-0.05599999999999994,0
garlic_bread,-0.05600000000000005,0
french_toast,-0.05999999999999994,0
lobster_roll_sandwich,-0.05999999999999994,0
paella,-0.05999999999999994,0
bruschetta,-0.06400000000000006,0
ceviche,-0.06800000000000006,0
crab_cakes,-0.07599999999999996,0
beef_carpaccio,-0.07999999999999996,0
gyoza,-0.08400000000000007,0
shrimp_and_grits,-0.08400000000000007,0
foie_gras,-0.08799999999999997,0
french_onion_soup,-0.09199999999999997,0
tuna_tartare,-0.10000000000000009,0
peking_duck,-0.10799999999999998,0
samosa,-0.11199999999999999,0
filet_mignon,-0.11199999999999999,0
huevos_rancheros,-0.12,0
macaroni_and_cheese,-0.12,0
takoyaki,-0.128,0
prime_rib,-0.1519999999999999,0
grilled_salmon,-0.18400000000000005,0
