category,changed_from_baseline,frequency
wild boar,0.54,0
printer,0.33999999999999997,12
jeep,0.33999999999999997,0
jersey,0.32,0
collie,0.32,1
newfoundland,0.31999999999999995,0
pot,0.30000000000000004,12
loafer,0.30000000000000004,0
king crab,0.3,0
vacuum,0.3,0
shovel,0.28,1
radio telescope,0.27999999999999997,0
great white shark,0.27999999999999997,0
water bottle,0.26,0
dandie dinmont,0.26,0
moped,0.26,0
mailbox,0.26,1
worm fence,0.26,0
spider monkey,0.26,0
african elephant,0.26,0
desk,0.26,45
ballpoint,0.26,0
vizsla,0.25999999999999995,0
tank,0.25999999999999995,6
diamondback,0.24000000000000002,0
streetcar,0.24,0
canoe,0.24,4
green snake,0.22000000000000003,0
drum,0.21999999999999997,0
lakeside,0.21999999999999997,0
dock,0.21999999999999997,9
laptop,0.21999999999999997,15
sax,0.20000000000000007,0
wig,0.20000000000000007,2
bathtub,0.2,0
plate,0.2,57
lampshade,0.19999999999999998,0
lhasa,0.19999999999999998,0
vestment,0.19999999999999996,0
maltese dog,0.19999999999999996,0
golden retriever,0.18000000000000005,0
studio couch,0.18000000000000005,0
pickup,0.18000000000000005,12
soup bowl,0.18000000000000005,0
aircraft carrier,0.18000000000000005,0
dragonfly,0.18000000000000005,0
valley,0.18000000000000005,3
tractor,0.18000000000000005,3
chihuahua,0.18,0
four-poster,0.18,0
mitten,0.18,0
ping-pong ball,0.18,0
suit,0.18,38
bouvier des flandres,0.18,0
pirate,0.18,1
butternut squash,0.17999999999999994,0
parachute,0.17999999999999994,2
pajama,0.17999999999999994,0
hummingbird,0.16000000000000003,0
rottweiler,0.16000000000000003,0
great dane,0.15999999999999998,0
cradle,0.15999999999999998,0
pole,0.15999999999999998,14
mantis,0.15999999999999998,0
doberman,0.15999999999999998,0
lotion,0.15999999999999998,0
gorilla,0.15999999999999992,3
radio,0.14000000000000007,3
binder,0.14,0
cup,0.14,17
coral reef,0.14,0
hay,0.14,7
breastplate,0.14,0
tick,0.14,0
irish wolfhound,0.14,0
spider web,0.14,0
ram,0.14,0
artichoke,0.14,0
stingray,0.14,0
scorpion,0.14,0
komodo dragon,0.14,0
scale,0.13999999999999999,0
mushroom,0.13999999999999999,11
radiator,0.13999999999999996,0
cassette,0.13999999999999996,0
pug,0.1399999999999999,0
pillow,0.1399999999999999,7
cricket,0.12,11
impala,0.12,0
giant schnauzer,0.12,0
vase,0.12,0
goblet,0.12,0
slug,0.12,0
wardrobe,0.12,0
cloak,0.12,0
baboon,0.12,0
rock crab,0.12,0
packet,0.12,0
ibizan hound,0.12,0
washer,0.12,0
shield,0.12,0
bannister,0.12,0
frying pan,0.12,0
kuvasz,0.12,0
switch,0.12,1
gown,0.12,0
safe,0.12,0
sandal,0.12,0
yawl,0.12,0
chest,0.12,1
english foxhound,0.12,0
barn spider,0.12,0
agama,0.12,0
tripod,0.12,2
hair spray,0.11999999999999994,0
koala,0.10000000000000009,0
boa constrictor,0.10000000000000003,0
bucket,0.10000000000000003,7
coyote,0.10000000000000003,0
sweatshirt,0.10000000000000003,0
cellular telephone,0.10000000000000003,0
thunder snake,0.1,0
upright,0.1,0
warplane,0.09999999999999998,0
garbage truck,0.09999999999999998,0
beagle,0.09999999999999998,0
overskirt,0.09999999999999998,0
bluetick,0.09999999999999998,0
prison,0.09999999999999998,1
broccoli,0.09999999999999998,2
throne,0.09999999999999998,0
balloon,0.09999999999999998,8
french loaf,0.09999999999999998,0
submarine,0.09999999999999998,0
teddy,0.09999999999999998,0
comic book,0.09999999999999998,0
old english sheepdog,0.09999999999999998,0
swing,0.09999999999999998,1
bikini,0.09999999999999998,2
green lizard,0.09999999999999998,0
dalmatian,0.09999999999999998,0
seashore,0.09999999999999998,0
hair slide,0.09999999999999998,0
otter,0.09999999999999998,0
honeycomb,0.09999999999999998,0
bubble,0.09999999999999998,0
cliff,0.09999999999999998,12
mask,0.09999999999999998,20
robin,0.09999999999999998,0
monitor,0.09999999999999998,16
wolf spider,0.09999999999999998,0
megalith,0.08000000000000007,0
mongoose,0.08000000000000007,0
sports car,0.08000000000000007,0
tree frog,0.08000000000000007,0
crate,0.08000000000000007,6
hamster,0.08000000000000007,0
matchstick,0.08000000000000007,0
redshank,0.08000000000000007,0
dingo,0.08000000000000007,0
folding chair,0.08000000000000007,0
hourglass,0.08000000000000007,0
shopping basket,0.08000000000000002,0
alp,0.08000000000000002,2
irish water spaniel,0.08000000000000002,0
mud turtle,0.08000000000000002,0
toaster,0.08000000000000002,0
sunscreen,0.08000000000000002,0
purse,0.08000000000000002,0
microwave,0.08000000000000002,6
chain,0.08000000000000002,2
dough,0.08000000000000002,0
cassette player,0.08,0
beaker,0.07999999999999999,0
nail,0.07999999999999999,2
ox,0.07999999999999999,0
sunglasses,0.07999999999999999,10
water jug,0.07999999999999999,0
mousetrap,0.07999999999999996,0
web site,0.07999999999999996,0
arctic fox,0.07999999999999996,0
necklace,0.07999999999999996,0
leaf beetle,0.07999999999999996,0
goose,0.07999999999999996,0
television,0.07999999999999996,0
flamingo,0.07999999999999996,0
alligator lizard,0.07999999999999996,0
maraca,0.07999999999999996,0
chainlink fence,0.07999999999999996,0
dumbbell,0.07999999999999996,0
scabbard,0.07999999999999996,0
skunk,0.07999999999999996,0
bib,0.07999999999999996,0
hippopotamus,0.07999999999999996,0
burrito,0.07999999999999996,0
pomeranian,0.07999999999999996,0
bernese mountain dog,0.07999999999999996,0
leopard,0.07999999999999996,0
tiger beetle,0.07999999999999996,0
mashed potato,0.07999999999999996,0
squirrel monkey,0.07999999999999996,0
bearskin,0.06000000000000005,0
pineapple,0.06000000000000005,5
shopping cart,0.06000000000000005,0
traffic light,0.06000000000000005,0
bulletproof vest,0.06000000000000005,0
french bulldog,0.06000000000000005,0
golfcart,0.06000000000000005,0
saint bernard,0.06000000000000005,0
bookcase,0.06000000000000005,0
ice bear,0.06000000000000005,0
patio,0.06000000000000005,2
toilet seat,0.06000000000000005,0
crutch,0.06000000000000005,0
tiger shark,0.06000000000000005,0
jean,0.06000000000000005,11
goldfinch,0.06000000000000005,0
potter's wheel,0.06000000000000005,0
rocking chair,0.06000000000000005,0
little blue heron,0.06000000000000005,0
screwdriver,0.06000000000000001,0
paper towel,0.060000000000000005,0
cucumber,0.06,0
red-backed sandpiper,0.06,0
crayfish,0.06,0
great pyrenees,0.06,0
minivan,0.06,0
boxer,0.06,0
african crocodile,0.06,0
bow tie,0.06,0
power drill,0.06,0
acorn,0.06,0
plow,0.06,0
pier,0.06,7
drumstick,0.06,0
velvet,0.06,1
lighter,0.06,0
english springer,0.06,0
strainer,0.06,0
platypus,0.06,0
plunger,0.06,0
axolotl,0.05999999999999994,0
house finch,0.05999999999999994,0
window screen,0.05999999999999994,0
chow,0.05999999999999994,0
teapot,0.05999999999999994,0
ant,0.05999999999999994,0
beer bottle,0.05999999999999994,0
ambulance,0.05999999999999994,0
tabby,0.05999999999999994,0
hare,0.05999999999999994,0
ladybug,0.05999999999999994,0
centipede,0.05999999999999994,0
park bench,0.05999999999999994,0
cannon,0.05999999999999994,0
model t,0.05999999999999994,0
hard disc,0.05999999999999994,0
sleeping bag,0.05999999999999994,0
snorkel,0.05999999999999994,0
lipstick,0.05999999999999994,1
mixing bowl,0.05999999999999994,0
killer whale,0.05999999999999994,0
doormat,0.040000000000000036,0
vine snake,0.040000000000000036,0
snowmobile,0.040000000000000036,0
academic gown,0.040000000000000036,0
pelican,0.040000000000000036,0
garter snake,0.040000000000000036,0
king snake,0.040000000000000036,0
tricycle,0.040000000000000036,0
forklift,0.040000000000000036,0
agaric,0.040000000000000036,0
fly,0.040000000000000036,0
shower cap,0.040000000000000036,0
dishrag,0.040000000000000036,0
whippet,0.040000000000000036,0
guillotine,0.040000000000000036,0
weimaraner,0.040000000000000036,0
screw,0.040000000000000036,0
ipod,0.040000000000000036,0
lab coat,0.040000000000000036,0
mountain bike,0.040000000000000036,0
cabbage butterfly,0.040000000000000036,0
sea anemone,0.040000000000000036,0
wombat,0.040000000000000036,0
junco,0.040000000000000036,0
bison,0.040000000000000036,0
black swan,0.040000000000000036,0
garden spider,0.040000000000000036,0
porcupine,0.040000000000000036,0
violin,0.040000000000000036,0
hog,0.040000000000000036,0
macaque,0.040000000000000036,0
tiger,0.040000000000000036,7
can opener,0.040000000000000036,0
white wolf,0.040000000000000036,0
spotted salamander,0.040000000000000036,0
castle,0.040000000000000036,5
mexican hairless,0.040000000000000036,0
thatch,0.040000000000000036,0
car wheel,0.040000000000000036,0
stretcher,0.040000000000000036,0
beacon,0.040000000000000036,0
grey fox,0.040000000000000036,0
banjo,0.040000000000000036,0
pay-phone,0.040000000000000036,0
broom,0.040000000000000036,0
computer keyboard,0.040000000000000036,0
convertible,0.040000000000000036,0
backpack,0.040000000000000036,7
norfolk terrier,0.040000000000000036,0
crib,0.040000000000000036,1
perfume,0.040000000000000036,0
terrapin,0.040000000000000036,0
petri dish,0.040000000000000036,0
lion,0.040000000000000036,20
hammer,0.04000000000000001,0
night snake,0.04000000000000001,0
coil,0.04000000000000001,0
tub,0.04000000000000001,4
spotlight,0.04000000000000001,1
chime,0.04,0
seat belt,0.03999999999999998,0
bonnet,0.03999999999999998,0
horned viper,0.03999999999999998,0
rifle,0.03999999999999998,1
australian terrier,0.03999999999999998,0
sussex spaniel,0.03999999999999998,0
bedlington terrier,0.03999999999999998,0
bow,0.03999999999999998,9
wine bottle,0.03999999999999998,0
buckeye,0.03999999999999998,0
punching bag,0.039999999999999925,0
pick,0.039999999999999925,0
missile,0.039999999999999925,0
measuring cup,0.039999999999999925,0
tennis ball,0.039999999999999925,0
syringe,0.039999999999999925,0
earthstar,0.039999999999999925,0
snail,0.039999999999999925,0
wreck,0.039999999999999925,0
orange,0.039999999999999925,26
barrel,0.020000000000000018,1
piggy bank,0.020000000000000018,0
horse cart,0.020000000000000018,0
keeshond,0.020000000000000018,0
beer glass,0.020000000000000018,0
hen-of-the-woods,0.020000000000000018,0
timber wolf,0.020000000000000018,0
red wolf,0.020000000000000018,0
kimono,0.020000000000000018,0
schooner,0.020000000000000018,0
corn,0.020000000000000018,13
hatchet,0.020000000000000018,0
persian cat,0.020000000000000018,0
water tower,0.020000000000000018,0
tile roof,0.020000000000000018,0
lynx,0.020000000000000018,0
toucan,0.020000000000000018,0
brown bear,0.020000000000000018,0
totem pole,0.020000000000000018,0
tow truck,0.020000000000000018,0
projector,0.020000000000000018,0
trailer truck,0.020000000000000018,0
gar,0.020000000000000018,0
birdhouse,0.020000000000000018,0
sewing machine,0.020000000000000018,0
bolo tie,0.020000000000000018,0
west highland white terrier,0.020000000000000018,0
lakeland terrier,0.020000000000000018,0
staffordshire bullterrier,0.020000000000000018,0
container ship,0.020000000000000018,0
dial telephone,0.020000000000000018,0
pretzel,0.020000000000000018,0
coffeepot,0.020000000000000018,0
stove,0.020000000000000018,11
goldfish,0.020000000000000018,0
space heater,0.020000000000000018,0
china cabinet,0.020000000000000018,0
basset,0.020000000000000018,0
lorikeet,0.020000000000000018,0
sombrero,0.020000000000000018,0
menu,0.020000000000000018,1
flagpole,0.020000000000000018,0
schipperke,0.020000000000000018,0
candle,0.020000000000000018,20
buckle,0.020000000000000018,0
ruddy turnstone,0.020000000000000018,0
bustard,0.020000000000000018,0
grand piano,0.020000000000000018,0
pill bottle,0.020000000000000018,0
maze,0.020000000000000018,2
plastic bag,0.020000000000000018,0
gila monster,0.020000000000000018,0
weevil,0.020000000000000018,0
wood rabbit,0.020000000000000018,0
waffle iron,0.020000000000000018,0
volcano,0.020000000000000018,0
trombone,0.020000000000000018,0
capuchin,0.020000000000000018,0
partridge,0.020000000000000018,0
quail,0.020000000000000018,0
weasel,0.020000000000000018,0
beaver,0.020000000000000018,0
black widow,0.020000000000000018,0
chimpanzee,0.020000000000000018,0
eel,0.020000000000000018,0
shoji,0.02,0
mailbag,0.02,0
groenendael,0.02,0
drake,0.02,0
mouse,0.019999999999999997,0
soft-coated wheaten terrier,0.01999999999999999,0
quilt,0.01999999999999999,0
screen,0.01999999999999999,21
tiger cat,0.01999999999999999,0
barrow,0.019999999999999962,0
assault rifle,0.019999999999999962,0
german shepherd,0.019999999999999907,0
saltshaker,0.019999999999999907,0
llama,0.019999999999999907,0
dung beetle,0.019999999999999907,0
guinea pig,0.019999999999999907,0
wall clock,0.019999999999999907,0
ostrich,0.019999999999999907,0
border terrier,0.019999999999999907,0
bullet train,0.019999999999999907,0
cash machine,0.019999999999999907,0
typewriter keyboard,0.019999999999999907,0
manhole cover,0.019999999999999907,0
speedboat,0.019999999999999907,0
eggnog,0.019999999999999907,0
bee,0.019999999999999907,0
ice lolly,0.019999999999999907,0
dining table,0.019999999999999907,0
parking meter,0.019999999999999907,0
lacewing,0.019999999999999907,0
jellyfish,0.019999999999999907,0
lemon,0.0,4
refrigerator,0.0,0
fountain,0.0,16
fig,0.0,0
slot,0.0,0
shih-tzu,0.0,0
pekinese,0.0,0
fire engine,0.0,0
reel,0.0,0
zebra,0.0,0
file,0.0,0
chickadee,0.0,0
plane,0.0,19
hip,0.0,0
pedestal,0.0,0
yellow lady's slipper,0.0,0
quill,0.0,0
diaper,0.0,0
spatula,0.0,0
space shuttle,0.0,0
daisy,0.0,0
feather boa,0.0,0
redbone,0.0,0
eft,0.0,0
water ouzel,0.0,0
palace,0.0,0
paintbrush,0.0,0
bald eagle,0.0,0
oxcart,0.0,0
sock,0.0,0
banana,0.0,30
sulphur-crested cockatoo,0.0,0
jackfruit,0.0,0
flatworm,0.0,0
prairie chicken,0.0,0
hotdog,0.0,0
coral fungus,0.0,0
sea slug,0.0,0
promontory,0.0,0
lawn mower,0.0,0
school bus,0.0,0
common newt,0.0,0
nematode,0.0,0
limousine,0.0,0
joystick,0.0,0
milk can,0.0,0
loudspeaker,0.0,0
loupe,0.0,0
maillot,0.0,0
african grey,0.0,0
microphone,0.0,4
marimba,0.0,0
bee eater,0.0,0
coucal,0.0,0
ptarmigan,0.0,0
ear,0.0,3
king penguin,0.0,0
revolver,0.0,0
oystercatcher,0.0,0
golf ball,0.0,0
notebook,0.0,3
nipple,0.0,0
grocery store,0.0,0
half track,0.0,0
indian cobra,0.0,0
maypole,0.0,0
hand-held computer,0.0,0
mountain tent,0.0,0
black grouse,0.0,0
holster,0.0,1
trilobite,0.0,0
great grey owl,0.0,0
horizontal bar,0.0,0
rule,0.0,0
potpie,0.0,0
jack-o'-lantern,0.0,0
dungeness crab,0.0,0
sandbar,0.0,0
crane,0.0,0
sorrel,0.0,0
rock beauty,0.0,0
red fox,0.0,0
baseball,0.0,0
volleyball,0.0,0
swab,0.0,0
barometer,0.0,0
caldron,0.0,0
barbell,0.0,0
vault,0.0,0
kelpie,0.0,0
band aid,0.0,0
street sign,0.0,0
lycaenid,0.0,0
car mirror,0.0,0
suspension bridge,0.0,0
siamese cat,0.0,0
balance beam,0.0,0
hen,0.0,0
yurt,0.0,0
clumber,0.0,0
indigo bunting,0.0,0
admiral,0.0,0
wool,0.0,0
poncho,0.0,0
bull mastiff,0.0,0
cock,0.0,0
window shade,0.0,0
bottlecap,0.0,0
appenzeller,0.0,0
pembroke,0.0,0
cardigan,0.0,0
patas,0.0,0
brass,0.0,2
miniature poodle,0.0,0
umbrella,0.0,4
monarch,0.0,0
unicycle,0.0,0
cocker spaniel,0.0,0
titi,0.0,0
cairn,0.0,0
sea cucumber,0.0,0
church,0.0,33
american black bear,0.0,0
cliff dwelling,0.0,0
stinkhorn,0.0,0
toyshop,0.0,0
plate rack,0.0,0
ice cream,0.0,0
washbasin,0.0,0
cheeseburger,0.0,0
corkscrew,0.0,0
tray,0.0,30
sturgeon,0.0,0
viaduct,0.0,0
gazelle,0.0,0
torch,0.0,1
stupa,0.0,0
ibex,0.0,0
ashcan,0.0,0
pool table,0.0,0
chesapeake bay retriever,0.0,0
amphibian,0.0,0
starfish,0.0,0
hartebeest,0.0,0
vending machine,0.0,0
lesser panda,0.0,0
trifle,0.0,0
flat-coated retriever,0.0,0
giant panda,0.0,0
chain saw,0.0,0
wooden spoon,0.0,0
barn,-0.019999999999999907,15
meerkat,-0.019999999999999907,0
pizza,-0.019999999999999907,18
jacamar,-0.019999999999999907,0
police van,-0.019999999999999907,0
anemone fish,-0.019999999999999907,0
scottish deerhound,-0.019999999999999907,0
american coot,-0.019999999999999907,0
cab,-0.019999999999999907,0
organ,-0.019999999999999907,0
gondola,-0.019999999999999907,0
greenhouse,-0.019999999999999907,0
ski mask,-0.019999999999999907,0
brittany spaniel,-0.019999999999999907,0
ballplayer,-0.019999999999999907,0
scuba diver,-0.019999999999999907,0
rapeseed,-0.019999999999999907,0
limpkin,-0.019999999999999907,0
three-toed sloth,-0.019999999999999907,0
black stork,-0.019999999999999907,0
dishwasher,-0.019999999999999962,0
moving van,-0.019999999999999962,0
bloodhound,-0.01999999999999999,0
stopwatch,-0.01999999999999999,0
kit fox,-0.01999999999999999,0
boston bull,-0.019999999999999997,0
mortar,-0.019999999999999997,0
sidewinder,-0.02,0
beach wagon,-0.02,0
knot,-0.020000000000000004,0
remote control,-0.020000000000000018,0
triumphal arch,-0.020000000000000018,0
pencil box,-0.020000000000000018,0
fox squirrel,-0.020000000000000018,0
orangutan,-0.020000000000000018,0
bullfrog,-0.020000000000000018,0
armadillo,-0.020000000000000018,0
restaurant,-0.020000000000000018,53
angora,-0.020000000000000018,0
sea urchin,-0.020000000000000018,0
medicine chest,-0.020000000000000018,0
badger,-0.020000000000000018,0
triceratops,-0.020000000000000018,0
ruffed grouse,-0.020000000000000018,0
cicada,-0.020000000000000018,0
hognose snake,-0.020000000000000018,0
grasshopper,-0.020000000000000018,0
wallet,-0.020000000000000018,0
monastery,-0.020000000000000018,0
water snake,-0.020000000000000018,0
running shoe,-0.020000000000000018,0
cockroach,-0.020000000000000018,0
mobile home,-0.020000000000000018,0
obelisk,-0.020000000000000018,0
marmoset,-0.020000000000000018,0
odometer,-0.020000000000000018,0
crash helmet,-0.020000000000000018,0
puffer,-0.020000000000000018,0
handkerchief,-0.020000000000000018,0
shoe shop,-0.020000000000000018,0
komondor,-0.020000000000000018,0
dowitcher,-0.020000000000000018,0
grey whale,-0.020000000000000018,0
dugong,-0.020000000000000018,0
freight car,-0.020000000000000018,0
ski,-0.020000000000000018,5
polaroid camera,-0.020000000000000018,0
catamaran,-0.020000000000000018,0
guacamole,-0.020000000000000018,0
rhodesian ridgeback,-0.020000000000000018,0
snowplow,-0.020000000000000018,0
hot pot,-0.020000000000000018,0
electric locomotive,-0.020000000000000018,0
dutch oven,-0.020000000000000018,0
strawberry,-0.020000000000000018,9
dogsled,-0.020000000000000018,0
jay,-0.020000000000000018,0
spaghetti squash,-0.020000000000000018,0
stone wall,-0.020000000000000018,0
steam locomotive,-0.020000000000000018,0
vulture,-0.020000000000000018,0
theater curtain,-0.020000000000000018,0
stage,-0.020000000000000018,7
lifeboat,-0.020000000000000018,0
harvester,-0.020000000000000018,0
hyena,-0.020000000000000018,0
magnetic compass,-0.020000000000000018,0
affenpinscher,-0.020000000000000018,0
wallaby,-0.020000000000000018,0
cougar,-0.020000000000000018,0
barbershop,-0.020000000000000018,0
thimble,-0.020000000000000018,0
home theater,-0.020000000000000018,0
bicycle-built-for-two,-0.020000000000000018,0
toy poodle,-0.020000000000000018,0
whistle,-0.020000000000000018,0
soccer ball,-0.039999999999999925,0
turnstile,-0.039999999999999925,0
sea snake,-0.039999999999999925,0
american alligator,-0.039999999999999925,0
brain coral,-0.039999999999999925,0
confectionery,-0.039999999999999925,0
jaguar,-0.039999999999999925,0
banded gecko,-0.039999999999999925,0
dome,-0.039999999999999925,5
rain barrel,-0.039999999999999925,0
scoreboard,-0.039999999999999925,1
bulbul,-0.039999999999999925,0
jigsaw puzzle,-0.039999999999999925,0
recreational vehicle,-0.039999999999999925,0
gordon setter,-0.039999999999999925,0
fur coat,-0.039999999999999925,0
harvestman,-0.039999999999999925,0
mosquito net,-0.039999999999999925,0
damselfly,-0.039999999999999925,0
greater swiss mountain dog,-0.039999999999999925,0
airship,-0.039999999999999925,0
pomegranate,-0.039999999999999925,0
american egret,-0.039999999999999925,0
brassiere,-0.039999999999999925,0
toilet tissue,-0.03999999999999998,0
afghan hound,-0.03999999999999998,0
carpenter's kit,-0.03999999999999998,0
miniature schnauzer,-0.03999999999999998,0
combination lock,-0.03999999999999998,0
irish terrier,-0.03999999999999998,0
oboe,-0.03999999999999998,0
tibetan terrier,-0.03999999999999998,0
isopod,-0.03999999999999998,0
ladle,-0.03999999999999998,0
letter opener,-0.03999999999999998,0
eskimo dog,-0.039999999999999994,0
american chameleon,-0.039999999999999994,0
pitcher,-0.04,8
wing,-0.04000000000000001,5
hand blower,-0.04000000000000001,0
space bar,-0.04000000000000001,0
black-footed ferret,-0.04000000000000001,0
tobacco shop,-0.040000000000000036,0
wok,-0.040000000000000036,0
zucchini,-0.040000000000000036,0
